Airline_Code,SourceAirportCityCountry,DestinationAirportCityCountry
UA,"Saskatoon" "Canada","Chicago" "United States"
UA,"London" "Canada","Chicago" "United States"
UA,"Calgary" "Canada","Denver" "United States"
UA,"Calgary" "Canada","Houston" "United States"
UA,"Calgary" "Canada","Chicago" "United States"
UA,"Calgary" "Canada","Portland" "United States"
UA,"Calgary" "Canada","San Francisco" "United States"
UA,"Victoria" "Canada","San Francisco" "United States"
UA,"St. John's" "Canada","Newark" "United States"
UA,"Toronto" "Canada","Atlanta" "United States"
UA,"Toronto" "Canada","Windsor Locks" "United States"
UA,"Toronto" "Canada","Boston" "United States"
UA,"Toronto" "Canada","Cleveland" "United States"
UA,"Toronto" "Canada","Columbus" "United States"
UA,"Toronto" "Canada","Denver" "United States"
UA,"Toronto" "Canada","Dallas-Fort Worth" "United States"
UA,"Toronto" "Canada","Detroit" "United States"
UA,"Toronto" "Canada","Newark" "United States"
UA,"Toronto" "Canada","Washington" "United States"
UA,"Toronto" "Canada","Houston" "United States"
UA,"Toronto" "Canada","Los Angeles" "United States"
UA,"Toronto" "Canada","New York" "United States"
UA,"Toronto" "Canada","Minneapolis" "United States"
UA,"Toronto" "Canada","New Orleans" "United States"
UA,"Toronto" "Canada","Chicago" "United States"
UA,"Toronto" "Canada","Philadelphia" "United States"
UA,"Toronto" "Canada","Pittsburgh" "United States"
UA,"Toronto" "Canada","San Francisco" "United States"
UA,"Toronto" "Canada","St. Louis" "United States"
UA,"Toronto" "Canada","Montreal" "Canada"
UA,"Zihuatanejo" "Mexico","Houston" "United States"
UA,"Manzanillo" "Mexico","Houston" "United States"
UA,"Zurich" "Switzerland","Boston" "United States"
UA,"Zurich" "Switzerland","Newark" "United States"
UA,"Zurich" "Switzerland","Washington" "United States"
UA,"Zurich" "Switzerland","New York" "United States"
UA,"Zurich" "Switzerland","Los Angeles" "United States"
UA,"Zurich" "Switzerland","Miami" "United States"
UA,"Zurich" "Switzerland","Nairobi" "Kenya"
UA,"Zurich" "Switzerland","Chicago" "United States"
UA,"Zurich" "Switzerland","San Francisco" "United States"
UD,"Le Puy" "France","Paris" "France"
UD,"Paris" "France","Le Puy" "France"
UE,"Aden" "Yemen","Asmara" "Eritrea"
UE,"Aden" "Yemen","Dubai" "United Arab Emirates"
UE,"Asmara" "Eritrea","Aden" "Yemen"
UE,"Asmara" "Eritrea","Jeddah" "Saudi Arabia"
UE,"Asmara" "Eritrea","Juba" "South Sudan"
UE,"Asmara" "Eritrea","Khartoum" "Sudan"
UE,"Asmara" "Eritrea","Nairobi" "Kenya"
UE,"Dubai" "United Arab Emirates","Aden" "Yemen"
UE,"Entebbe" "Uganda","Asmara" "Eritrea"
UE,"Jeddah" "Saudi Arabia","Asmara" "Eritrea"
UE,"Juba" "South Sudan","Entebbe" "Uganda"
UE,"Juba" "South Sudan","Khartoum" "Sudan"
UE,"Khartoum" "Sudan","Asmara" "Eritrea"
UE,"Khartoum" "Sudan","Juba" "South Sudan"
UE,"Massawa" "Eritrea","Asmara" "Eritrea"
UE,"Nairobi" "Kenya","Asmara" "Eritrea"
UG,"Benghazi" "Libya","Sfax" "Tunisia"
UG,"Djerba" "Tunisia","Tunis" "Tunisia"
UG,"Gabes" "Tunisia","Tozeur" "Tunisia"
UG,"Gabes" "Tunisia","Tunis" "Tunisia"
UG,"Gafsa" "Tunisia","Gabes" "Tunisia"
UG,"Gafsa" "Tunisia","Tozeur" "Tunisia"
UG,"Monastir" "Tunisia","Tripoli" "Libya"
UG,"Monastir" "Tunisia","Tunis" "Tunisia"
UG,"Malta" "Malta","Tunis" "Tunisia"
UG,"Naples" "Italy","Tunis" "Tunisia"
UG,"Sfax" "Tunisia","Benghazi" "Libya"
UG,"Sfax" "Tunisia","Tripoli" "Libya"
UG,"Sfax" "Tunisia","Tunis" "Tunisia"
UG,"Tripoli" "Libya","Monastir" "Tunisia"
UG,"Tripoli" "Libya","Sfax" "Tunisia"
UG,"Tozeur" "Tunisia","Tunis" "Tunisia"
UG,"Tunis" "Tunisia","Djerba" "Tunisia"
UG,"Tunis" "Tunisia","Gabes" "Tunisia"
UG,"Tunis" "Tunisia","Gafsa" "Tunisia"
UG,"Tunis" "Tunisia","Monastir" "Tunisia"
UG,"Tunis" "Tunisia","Malta" "Malta"
UG,"Tunis" "Tunisia","Naples" "Italy"
UG,"Tunis" "Tunisia","Sfax" "Tunisia"
UG,"Tunis" "Tunisia","Tozeur" "Tunisia"
UJ,"Abha" "Saudi Arabia","Cairo" "Egypt"
UJ,"Cairo" "Egypt","Abha" "Saudi Arabia"
UJ,"Cairo" "Egypt","Gassim" "Saudi Arabia"
UJ,"Cairo" "Egypt","Taif" "Saudi Arabia"
UJ,"Cairo" "Egypt","Tabuk" "Saudi Arabia"
UJ,"Cairo" "Egypt","Yenbo" "Saudi Arabia"
UJ,"Donetsk" "Ukraine","Istanbul" "Turkey"
UJ,"Donetsk" "Ukraine","Kiev" "Ukraine"
UJ,"Gassim" "Saudi Arabia","Cairo" "Egypt"
UJ,"Baku" "Azerbaijan","Kiev" "Ukraine"
UJ,"Alexandria" "Egypt","Jeddah" "Saudi Arabia"
UJ,"Istanbul" "Turkey","Donetsk" "Ukraine"
UJ,"Istanbul" "Turkey","Kiev" "Ukraine"
UJ,"Istanbul" "Turkey","Odessa" "Ukraine"
UJ,"Jeddah" "Saudi Arabia","Alexandria" "Egypt"
UJ,"Kiev" "Ukraine","Antalya" "Turkey"
UJ,"Kiev" "Ukraine","Donetsk" "Ukraine"
UJ,"Kiev" "Ukraine","Baku" "Azerbaijan"
UJ,"Kiev" "Ukraine","Istanbul" "Turkey"
UJ,"Kiev" "Ukraine","St. Petersburg" "Russia"
UJ,"Kiev" "Ukraine","Odessa" "Ukraine"
UJ,"Kiev" "Ukraine","Simferopol" "Ukraine"
UJ,"Kiev" "Ukraine","Moscow" "Russia"
UJ,"St. Petersburg" "Russia","Kiev" "Ukraine"
UJ,"Odessa" "Ukraine","Kiev" "Ukraine"
UJ,"Odessa" "Ukraine","Moscow" "Russia"
UJ,"Simferopol" "Ukraine","Kiev" "Ukraine"
UJ,"Moscow" "Russia","Kiev" "Ukraine"
UJ,"Moscow" "Russia","Odessa" "Ukraine"
UJ,"Taif" "Saudi Arabia","Cairo" "Egypt"
UJ,"Tabuk" "Saudi Arabia","Cairo" "Egypt"
UJ,"Yenbo" "Saudi Arabia","Cairo" "Egypt"
UL,"Amman" "Jordan","Abu Dhabi" "United Arab Emirates"
UL,"Abu Dhabi" "United Arab Emirates","Amman" "Jordan"
UL,"Abu Dhabi" "United Arab Emirates","Colombo" "Sri Lanka"
UL,"Bahrain" "Bahrain","Colombo" "Sri Lanka"
UL,"Bangkok" "Thailand","Guangzhou" "China"
UL,"Bangkok" "Thailand","Colombo" "Sri Lanka"
UL,"Bangkok" "Thailand","Hong Kong" "Hong Kong"
UL,"Bangalore" "India","Colombo" "Sri Lanka"
UL,"Mumbai" "India","Colombo" "Sri Lanka"
UL,null null,"Sigiriya" "Sri Lanka"
UL,"Guangzhou" "China","Bangkok" "Thailand"
UL,"Paris" "France","Colombo" "Sri Lanka"
UL,"Jakarta" "Indonesia","Colombo" "Sri Lanka"
UL,"Colombo" "Sri Lanka","Abu Dhabi" "United Arab Emirates"
UL,"Colombo" "Sri Lanka","Bahrain" "Bahrain"
UL,"Colombo" "Sri Lanka","Bangkok" "Thailand"
UL,"Colombo" "Sri Lanka","Bangalore" "India"
UL,"Colombo" "Sri Lanka","Mumbai" "India"
UL,"Colombo" "Sri Lanka","Paris" "France"
UL,"Colombo" "Sri Lanka","Jakarta" "Indonesia"
UL,"Colombo" "Sri Lanka","Kochi" "India"
UL,"Colombo" "Sri Lanka","Dhaka" "Bangladesh"
UL,"Colombo" "Sri Lanka","Delhi" "India"
UL,"Colombo" "Sri Lanka","Moscow" "Russia"
UL,"Colombo" "Sri Lanka","Dammam" "Saudi Arabia"
UL,"Colombo" "Sri Lanka","Doha" "Qatar"
UL,"Colombo" "Sri Lanka","Dubai" "United Arab Emirates"
UL,"Colombo" "Sri Lanka","Rome" "Italy"
UL,"Colombo" "Sri Lanka","Frankfurt" "Germany"
UL,"Colombo" "Sri Lanka","Sigiriya" "Sri Lanka"
UL,"Colombo" "Sri Lanka","Mattala" "Sri Lanka"
UL,"Colombo" "Sri Lanka","Madurai" "India"
UL,"Colombo" "Sri Lanka","Jeddah" "Saudi Arabia"
UL,"Colombo" "Sri Lanka","Koggala" "Sri Lanka"
UL,"Colombo" "Sri Lanka","Karachi" "Pakistan"
UL,"Colombo" "Sri Lanka","Kuala Lumpur" "Malaysia"
UL,"Colombo" "Sri Lanka","Kuwait" "Kuwait"
UL,"Colombo" "Sri Lanka","London" "United Kingdom"
UL,"Colombo" "Sri Lanka","Madras" "India"
UL,"Colombo" "Sri Lanka","Muscat" "Oman"
UL,"Colombo" "Sri Lanka","Male" "Maldives"
UL,"Colombo" "Sri Lanka","Tokyo" "Japan"
UL,"Colombo" "Sri Lanka","Beijing" "China"
UL,"Colombo" "Sri Lanka","Shanghai" "China"
UL,"Colombo" "Sri Lanka","Riyadh" "Saudi Arabia"
UL,"Colombo" "Sri Lanka","Mahe" "Seychelles"
UL,"Colombo" "Sri Lanka","Sharjah" "United Arab Emirates"
UL,"Colombo" "Sri Lanka","Singapore" "Singapore"
UL,"Colombo" "Sri Lanka","Trivandrum" "India"
UL,"Colombo" "Sri Lanka","Tiruchirappalli" "India"
UL,"Kochi" "India","Colombo" "Sri Lanka"
UL,"Dhaka" "Bangladesh","Colombo" "Sri Lanka"
UL,"Delhi" "India","Colombo" "Sri Lanka"
UL,null null,"Koggala" "Sri Lanka"
UL,"Moscow" "Russia","Colombo" "Sri Lanka"
UL,"Dammam" "Saudi Arabia","Colombo" "Sri Lanka"
UL,"Doha" "Qatar","Colombo" "Sri Lanka"
UL,"Dubai" "United Arab Emirates","Colombo" "Sri Lanka"
UL,"Rome" "Italy","Colombo" "Sri Lanka"
UL,"Frankfurt" "Germany","Colombo" "Sri Lanka"
UL,"Sigiriya" "Sri Lanka",null null
UL,"Sigiriya" "Sri Lanka","Colombo" "Sri Lanka"
UL,"Sigiriya" "Sri Lanka","Trinciomalee" "Sri Lanka"
UL,"Hong Kong" "Hong Kong","Bangkok" "Thailand"
UL,"Mattala" "Sri Lanka","Colombo" "Sri Lanka"
UL,"Mattala" "Sri Lanka","Jeddah" "Saudi Arabia"
UL,"Mattala" "Sri Lanka","Beijing" "China"
UL,"Mattala" "Sri Lanka","Shanghai" "China"
UL,"Madurai" "India","Colombo" "Sri Lanka"
UL,"Jeddah" "Saudi Arabia","Colombo" "Sri Lanka"
UL,"Koggala" "Sri Lanka","Colombo" "Sri Lanka"
UL,"Koggala" "Sri Lanka",null null
UL,"Karachi" "Pakistan","Colombo" "Sri Lanka"
UL,"Kuala Lumpur" "Malaysia","Colombo" "Sri Lanka"
UL,"Kuwait" "Kuwait","Colombo" "Sri Lanka"
UL,"London" "United Kingdom","Colombo" "Sri Lanka"
UL,"Madras" "India","Colombo" "Sri Lanka"
UL,"Madras" "India","Mattala" "Sri Lanka"
UL,"Muscat" "Oman","Colombo" "Sri Lanka"
UL,"Muscat" "Oman","Zurich" "Switzerland"
UL,"Male" "Maldives","Colombo" "Sri Lanka"
UL,"Male" "Maldives","Mattala" "Sri Lanka"
UL,"Tokyo" "Japan","Colombo" "Sri Lanka"
UL,"Beijing" "China","Colombo" "Sri Lanka"
UL,"Shanghai" "China","Colombo" "Sri Lanka"
UL,"Riyadh" "Saudi Arabia","Colombo" "Sri Lanka"
UL,"Mahe" "Seychelles","Colombo" "Sri Lanka"
UL,"Sharjah" "United Arab Emirates","Colombo" "Sri Lanka"
UL,"Singapore" "Singapore","Colombo" "Sri Lanka"
UL,"Trinciomalee" "Sri Lanka","Sigiriya" "Sri Lanka"
UL,"Trivandrum" "India","Colombo" "Sri Lanka"
UL,"Tiruchirappalli" "India","Colombo" "Sri Lanka"
UL,"Zurich" "Switzerland","Muscat" "Oman"
UM,"Bulawayo" "Zimbabwe","Harare" "Zimbabwe"
UM,"Bulawayo" "Zimbabwe","Johannesburg" "South Africa"
UM,"Bulawayo" "Zimbabwe","Victoria Falls" "Zimbabwe"
UM,"Harare" "Zimbabwe","Bulawayo" "Zimbabwe"
UM,"Harare" "Zimbabwe","Johannesburg" "South Africa"
UM,"Harare" "Zimbabwe","Victoria Falls" "Zimbabwe"
UM,"Johannesburg" "South Africa","Bulawayo" "Zimbabwe"
UM,"Johannesburg" "South Africa","Harare" "Zimbabwe"
UM,"Johannesburg" "South Africa","Victoria Falls" "Zimbabwe"
UM,"Victoria Falls" "Zimbabwe","Bulawayo" "Zimbabwe"
UM,"Victoria Falls" "Zimbabwe","Harare" "Zimbabwe"
UM,"Victoria Falls" "Zimbabwe","Johannesburg" "South Africa"
UN,"Aberdeen" "United Kingdom","London" "United Kingdom"
UN,"Sochi" "Russia","Moscow" "Russia"
UN,"Sochi" "Russia","Moscow" "Russia"
UN,"Malaga" "Spain","Moscow" "Russia"
UN,"Alma-ata" "Kazakhstan","Moscow" "Russia"
UN,"Alma-ata" "Kazakhstan","Moscow" "Russia"
UN,"Alicante" "Spain","Moscow" "Russia"
UN,"Antalya" "Turkey","Moscow" "Russia"
UN,"Barcelona" "Spain","Moscow" "Russia"
UN,"Bukhara" "Uzbekistan","Moscow" "Russia"
UN,"Bangkok" "Thailand","Moscow" "Russia"
UN,"Bangkok" "Thailand","Krasnoyarsk" "Russia"
UN,"Bangkok" "Thailand","Yekaterinburg" "Russia"
UN,"Bangkok" "Thailand","Taipei" "Taiwan"
UN,"Boston" "United States","London" "United Kingdom"
UN,"Blagoveschensk" "Russia","Moscow" "Russia"
UN,"Chimkent" "Kazakhstan","Moscow" "Russia"
UN,"Cancun" "Mexico","Moscow" "Russia"
UN,"Dalaman" "Turkey","Moscow" "Russia"
UN,"Dalaman" "Turkey","Moscow" "Russia"
UN,"Moscow" "Russia","Sochi" "Russia"
UN,"Moscow" "Russia","Alma-ata" "Kazakhstan"
UN,"Moscow" "Russia","Alicante" "Spain"
UN,"Moscow" "Russia","Barcelona" "Spain"
UN,"Moscow" "Russia","Bukhara" "Uzbekistan"
UN,"Moscow" "Russia","Bangkok" "Thailand"
UN,"Moscow" "Russia","Blagoveschensk" "Russia"
UN,"Moscow" "Russia","Dalaman" "Turkey"
UN,"Moscow" "Russia","Dnepropetrovsk" "Ukraine"
UN,"Moscow" "Russia","Donetsk" "Ukraine"
UN,"Moscow" "Russia","Dubai" "United Arab Emirates"
UN,"Moscow" "Russia","Anadyr" "Russia"
UN,"Moscow" "Russia","Rome" "Italy"
UN,"Moscow" "Russia","Magadan" "Russia"
UN,"Moscow" "Russia","Goa" "India"
UN,"Moscow" "Russia","Heraklion" "Greece"
UN,"Moscow" "Russia","Hong Kong" "Hong Kong"
UN,"Moscow" "Russia","Phuket" "Thailand"
UN,"Moscow" "Russia","Khanty-Mansiysk" "Russia"
UN,"Moscow" "Russia","Hurghada" "Egypt"
UN,"Moscow" "Russia","Houston" "United States"
UN,"Moscow" "Russia","Kiev" "Ukraine"
UN,"Moscow" "Russia","Kemorovo" "Russia"
UN,"Moscow" "Russia","Kaliningrad" "Russia"
UN,"Moscow" "Russia","Karaganda" "Kazakhstan"
UN,"Moscow" "Russia","Khabarovsk" "Russia"
UN,"Moscow" "Russia","Kokshetau" "Kazakhstan"
UN,"Moscow" "Russia","Krasnodar" "Russia"
UN,"Moscow" "Russia","Samara" "Russia"
UN,"Moscow" "Russia","Kazan" "Russia"
UN,"Moscow" "Russia","St. Petersburg" "Russia"
UN,"Moscow" "Russia","London" "United Kingdom"
UN,"Moscow" "Russia","Mineralnye Vody" "Russia"
UN,"Moscow" "Russia","Minsk 2" "Belarus"
UN,"Moscow" "Russia","Milano" "Italy"
UN,"Moscow" "Russia","Enfidha" "Tunisia"
UN,"Moscow" "Russia","Novy Urengoy" "Russia"
UN,"Moscow" "Russia","Omsk" "Russia"
UN,"Moscow" "Russia","Novosibirsk" "Russia"
UN,"Moscow" "Russia","Pardubice" "Czech Republic"
UN,"Moscow" "Russia","Perm" "Russia"
UN,"Moscow" "Russia","Paphos" "Cyprus"
UN,"Moscow" "Russia","Petropavlovsk" "Russia"
UN,"Moscow" "Russia","Punta Cana" "Dominican Republic"
UN,"Moscow" "Russia","Rhodos" "Greece"
UN,"Moscow" "Russia","Riga" "Latvia"
UN,"Moscow" "Russia","Rimini" "Italy"
UN,"Moscow" "Russia","Rostov" "Russia"
UN,"Moscow" "Russia","Ho Chi Minh City" "Vietnam"
UN,"Moscow" "Russia","Singapore" "Singapore"
UN,"Moscow" "Russia","Simferopol" "Ukraine"
UN,"Moscow" "Russia","Sharm El Sheikh" "Egypt"
UN,"Moscow" "Russia","Stavropol" "Russia"
UN,"Moscow" "Russia","Yekaterinburg" "Russia"
UN,"Moscow" "Russia","Sanya" "China"
UN,"Moscow" "Russia","Tenerife" "Spain"
UN,"Moscow" "Russia","Tel-aviv" "Israel"
UN,"Moscow" "Russia","Tomsk" "Russia"
UN,"Moscow" "Russia","Tselinograd" "Kazakhstan"
UN,"Moscow" "Russia","Berlin" "Germany"
UN,"Moscow" "Russia","Ufa" "Russia"
UN,"Moscow" "Russia","Yuzhno-sakhalinsk" "Russia"
UN,"Moscow" "Russia","Vienna" "Austria"
UN,"Moscow" "Russia","Vilnius" "Lithuania"
UN,"Moscow" "Russia","Varadero" "Cuba"
UN,"Moscow" "Russia","Vladivostok" "Russia"
UN,"Moscow" "Russia","Yakutsk" "Russia"
UN,"Dnepropetrovsk" "Ukraine","Moscow" "Russia"
UN,"Donetsk" "Ukraine","Moscow" "Russia"
UN,"Dubai" "United Arab Emirates","Moscow" "Russia"
UN,"Dubai" "United Arab Emirates","Samara" "Russia"
UN,"Dubai" "United Arab Emirates","St. Petersburg" "Russia"
UN,"Dubai" "United Arab Emirates","Omsk" "Russia"
UN,"Dubai" "United Arab Emirates","Novosibirsk" "Russia"
UN,"Dubai" "United Arab Emirates","Yekaterinburg" "Russia"
UN,"Dubai" "United Arab Emirates","Tyumen" "Russia"
UN,"Dubai" "United Arab Emirates","Moscow" "Russia"
UN,"Anadyr" "Russia","Moscow" "Russia"
UN,"Edinburgh" "United Kingdom","London" "United Kingdom"
UN,"Yerevan" "Armenia","Moscow" "Russia"
UN,"Rome" "Italy","Moscow" "Russia"
UN,"Rome" "Italy","St. Petersburg" "Russia"
UN,"Rome" "Italy","Moscow" "Russia"
UN,"Frankfurt" "Germany","Moscow" "Russia"
UN,"Magadan" "Russia","Moscow" "Russia"
UN,"Goa" "India","Moscow" "Russia"
UN,"Atyrau" "Kazakhstan","Moscow" "Russia"
UN,"Heraklion" "Greece","Moscow" "Russia"
UN,"Heraklion" "Greece","Moscow" "Russia"
UN,"Hong Kong" "Hong Kong","Moscow" "Russia"
UN,"Phuket" "Thailand","Moscow" "Russia"
UN,"Phuket" "Thailand","St. Petersburg" "Russia"
UN,"Phuket" "Thailand","Novosibirsk" "Russia"
UN,"Phuket" "Thailand","Yekaterinburg" "Russia"
UN,"Phuket" "Thailand","Moscow" "Russia"
UN,"Khanty-Mansiysk" "Russia","Moscow" "Russia"
UN,"Hurghada" "Egypt","Moscow" "Russia"
UN,"Hurghada" "Egypt","Novosibirsk" "Russia"
UN,"Hurghada" "Egypt","Moscow" "Russia"
UN,"Hurghada" "Egypt","Yekaterinburg" "Russia"
UN,"Hurghada" "Egypt","Moscow" "Russia"
UN,"Houston" "United States","Moscow" "Russia"
UN,"Kiev" "Ukraine","Moscow" "Russia"
UN,"Kiev" "Ukraine","Moscow" "Russia"
UN,"Irkutsk" "Russia","Moscow" "Russia"
UN,"Istanbul" "Turkey","Moscow" "Russia"
UN,"New York" "United States","Moscow" "Russia"
UN,"Johannesburg" "South Africa","London" "United Kingdom"
UN,"Kemorovo" "Russia","Moscow" "Russia"
UN,"Kaliningrad" "Russia","Moscow" "Russia"
UN,"Karaganda" "Kazakhstan","Moscow" "Russia"
UN,"Khabarovsk" "Russia","Moscow" "Russia"
UN,"Krasnoyarsk" "Russia","Moscow" "Russia"
UN,"Kokshetau" "Kazakhstan","Moscow" "Russia"
UN,"Krasnodar" "Russia","Moscow" "Russia"
UN,"Krasnodar" "Russia","Moscow" "Russia"
UN,"Kostanay" "Kazakhstan","Moscow" "Russia"
UN,"Samara" "Russia","Moscow" "Russia"
UN,"Samara" "Russia","Dubai" "United Arab Emirates"
UN,"Samara" "Russia","Moscow" "Russia"
UN,"Kazan" "Russia","Moscow" "Russia"
UN,"Los Angeles" "United States","London" "United Kingdom"
UN,"Los Angeles" "United States","Moscow" "Russia"
UN,"Larnaca" "Cyprus","St. Petersburg" "Russia"
UN,"St. Petersburg" "Russia","Moscow" "Russia"
UN,"St. Petersburg" "Russia","Rome" "Italy"
UN,"St. Petersburg" "Russia","Larnaca" "Cyprus"
UN,"St. Petersburg" "Russia","Minsk 2" "Belarus"
UN,"St. Petersburg" "Russia","Milano" "Italy"
UN,"St. Petersburg" "Russia","Enfidha" "Tunisia"
UN,"St. Petersburg" "Russia","Pardubice" "Czech Republic"
UN,"St. Petersburg" "Russia","Punta Cana" "Dominican Republic"
UN,"St. Petersburg" "Russia","Rhodos" "Greece"
UN,"St. Petersburg" "Russia","Moscow" "Russia"
UN,"London" "United Kingdom","Moscow" "Russia"
UN,"London" "United Kingdom","Orlando" "United States"
UN,"London" "United Kingdom","Aberdeen" "United Kingdom"
UN,"London" "United Kingdom","Boston" "United States"
UN,"London" "United Kingdom","Edinburgh" "United Kingdom"
UN,"London" "United Kingdom","Johannesburg" "South Africa"
UN,"London" "United Kingdom","Los Angeles" "United States"
UN,"London" "United Kingdom","Manchester" "United Kingdom"
UN,"London" "United Kingdom","San Francisco" "United States"
UN,"London" "United Kingdom","Moscow" "Russia"
UN,"Madrid" "Spain","Moscow" "Russia"
UN,"Manchester" "United Kingdom","London" "United Kingdom"
UN,"Orlando" "United States","London" "United Kingdom"
UN,"Miami" "United States","Moscow" "Russia"
UN,"Male" "Maldives","Moscow" "Russia"
UN,"Plaisance" "Mauritius","Moscow" "Russia"
UN,"Mineralnye Vody" "Russia","Moscow" "Russia"
UN,"Mineralnye Vody" "Russia","Moscow" "Russia"
UN,"Minsk 2" "Belarus","Moscow" "Russia"
UN,"Minsk 2" "Belarus","St. Petersburg" "Russia"
UN,"Milano" "Italy","Moscow" "Russia"
UN,"Milano" "Italy","St. Petersburg" "Russia"
UN,"Milano" "Italy","Moscow" "Russia"
UN,"Enfidha" "Tunisia","Moscow" "Russia"
UN,"Enfidha" "Tunisia","St. Petersburg" "Russia"
UN,"Enfidha" "Tunisia","Moscow" "Russia"
UN,"Norilsk" "Russia","Moscow" "Russia"
UN,"Novy Urengoy" "Russia","Moscow" "Russia"
UN,"Novy Urengoy" "Russia","Moscow" "Russia"
UN,"Odessa" "Ukraine","Moscow" "Russia"
UN,"Omsk" "Russia","Moscow" "Russia"
UN,"Omsk" "Russia","Dubai" "United Arab Emirates"
UN,"Paris" "France","Moscow" "Russia"
UN,"Novosibirsk" "Russia","Moscow" "Russia"
UN,"Novosibirsk" "Russia","Phuket" "Thailand"
UN,"Novosibirsk" "Russia","Hurghada" "Egypt"
UN,"Novosibirsk" "Russia","Moscow" "Russia"
UN,"Pardubice" "Czech Republic","Moscow" "Russia"
UN,"Pardubice" "Czech Republic","St. Petersburg" "Russia"
UN,"Perm" "Russia","Moscow" "Russia"
UN,"Beijing" "China","Moscow" "Russia"
UN,"Paphos" "Cyprus","Moscow" "Russia"
UN,"Paphos" "Cyprus","Moscow" "Russia"
UN,"Petropavlovsk" "Russia","Moscow" "Russia"
UN,"Punta Cana" "Dominican Republic","Moscow" "Russia"
UN,"Punta Cana" "Dominican Republic","St. Petersburg" "Russia"
UN,"Punta Cana" "Dominican Republic","Moscow" "Russia"
UN,"Rhodos" "Greece","Moscow" "Russia"
UN,"Rhodos" "Greece","St. Petersburg" "Russia"
UN,"Rhodos" "Greece","Moscow" "Russia"
UN,"Riga" "Latvia","Moscow" "Russia"
UN,"Riga" "Latvia","Moscow" "Russia"
UN,"Rimini" "Italy","Moscow" "Russia"
UN,"Rostov" "Russia","Moscow" "Russia"
UN,"Aktau" "Kazakhstan","Moscow" "Russia"
UN,"Mahe" "Seychelles","Moscow" "Russia"
UN,"San Francisco" "United States","London" "United Kingdom"
UN,"Ho Chi Minh City" "Vietnam","Moscow" "Russia"
UN,"Singapore" "Singapore","Moscow" "Russia"
UN,"Simferopol" "Ukraine","Moscow" "Russia"
UN,"Sharm El Sheikh" "Egypt","Moscow" "Russia"
UN,"Sharm El Sheikh" "Egypt","Moscow" "Russia"
UN,"Sharm El Sheikh" "Egypt","Yekaterinburg" "Russia"
UN,"Sharm El Sheikh" "Egypt","Moscow" "Russia"
UN,"Stavropol" "Russia","Moscow" "Russia"
UN,"Moscow" "Russia","Hurghada" "Egypt"
UN,"Moscow" "Russia","Enfidha" "Tunisia"
UN,"Moscow" "Russia","Punta Cana" "Dominican Republic"
UN,"Moscow" "Russia","Rhodos" "Greece"
UN,"Moscow" "Russia","Sharm El Sheikh" "Egypt"
UN,"Yekaterinburg" "Russia","Bangkok" "Thailand"
UN,"Yekaterinburg" "Russia","Moscow" "Russia"
UN,"Yekaterinburg" "Russia","Phuket" "Thailand"
UN,"Yekaterinburg" "Russia","Hurghada" "Egypt"
UN,"Yekaterinburg" "Russia","Sharm El Sheikh" "Egypt"
UN,"Yekaterinburg" "Russia","Moscow" "Russia"
UN,"Sanya" "China","Moscow" "Russia"
UN,"Tashkent" "Uzbekistan","Moscow" "Russia"
UN,"Tenerife" "Spain","Moscow" "Russia"
UN,"Tel-aviv" "Israel","Moscow" "Russia"
UN,"Tel-aviv" "Israel","Moscow" "Russia"
UN,"Tomsk" "Russia","Moscow" "Russia"
UN,"Taipei" "Taiwan","Bangkok" "Thailand"
UN,"Tselinograd" "Kazakhstan","Moscow" "Russia"
UN,"Tselinograd" "Kazakhstan","Moscow" "Russia"
UN,"Berlin" "Germany","Moscow" "Russia"
UN,"Ufa" "Russia","Moscow" "Russia"
UN,"Yuzhno-sakhalinsk" "Russia","Moscow" "Russia"
UN,"Venice" "Italy","Moscow" "Russia"
UN,"Vienna" "Austria","Moscow" "Russia"
UN,"Vienna" "Austria","Moscow" "Russia"
UN,"Moscow" "Russia","Sochi" "Russia"
UN,"Moscow" "Russia","Malaga" "Spain"
UN,"Moscow" "Russia","Alma-ata" "Kazakhstan"
UN,"Moscow" "Russia","Antalya" "Turkey"
UN,"Moscow" "Russia","Chimkent" "Kazakhstan"
UN,"Moscow" "Russia","Cancun" "Mexico"
UN,"Moscow" "Russia","Dalaman" "Turkey"
UN,"Moscow" "Russia","Dubai" "United Arab Emirates"
UN,"Moscow" "Russia","Yerevan" "Armenia"
UN,"Moscow" "Russia","Rome" "Italy"
UN,"Moscow" "Russia","Frankfurt" "Germany"
UN,"Moscow" "Russia","Atyrau" "Kazakhstan"
UN,"Moscow" "Russia","Heraklion" "Greece"
UN,"Moscow" "Russia","Phuket" "Thailand"
UN,"Moscow" "Russia","Hurghada" "Egypt"
UN,"Moscow" "Russia","Kiev" "Ukraine"
UN,"Moscow" "Russia","Irkutsk" "Russia"
UN,"Moscow" "Russia","Istanbul" "Turkey"
UN,"Moscow" "Russia","New York" "United States"
UN,"Moscow" "Russia","Krasnoyarsk" "Russia"
UN,"Moscow" "Russia","Krasnodar" "Russia"
UN,"Moscow" "Russia","Kostanay" "Kazakhstan"
UN,"Moscow" "Russia","Samara" "Russia"
UN,"Moscow" "Russia","Los Angeles" "United States"
UN,"Moscow" "Russia","St. Petersburg" "Russia"
UN,"Moscow" "Russia","London" "United Kingdom"
